,rating,review
0,1,"please don't buy this phone! this have a drawback of data wipe out all on a sudden! suddenly it will be like a new phone ! so those who use this, kindly make a back up for the dataREAD MORE"
1,1,bad 👎😈READ MORE
2,1,This is my 2nd Redmi fone and writing this review after using it for few months. Phone looks good  in this price but not worth because it has few issues especially hanging issue. Now I understand that why there are long ques at all mi service centers. I'm not a heavy user of phone but these pnones don't serve basic functionality properly over the time.  Those who wants cheap Chinese phones equivalent to well branded high end phones can go with Mi Redmi phones. But for me Mi has disappointed 2...READ MORE
3,1,very bad product don't buyREAD MORE
4,1,"Worst Experience with MI, I have been using it since MI Launched first Phone in India. Till now everything was good, But this phone was the worst decision for me. Hangs every minute. Slow down working in just 7 months of purchase.READ MORE"
5,1,Bad servicr from Flikart phone is goodREAD MORE
6,1,Worst experience ever. Don't go for it.READ MORE
7,1,Camera and performance is worst battery is ok but allover not value for moneyREAD MORE
8,1,I give 5star when mi give charging cable at least 2 meterREAD MORE
9,1,Display is not goodREAD MORE
10,1,All body and display is not strong. Screen damaged once is mistake falls from handREAD MORE
11,1,no double 4g sim workingcamra is so good as company say.i dont like itREAD MORE
12,1,"This Product is not good, i can suggest not purchase this laptop.READ MORE"
13,1,After buying this phone it worked good for about 4-5 months then the display became more sensitive... PUBG was totally not working...the service centre said they are not responsible for third party app(pubg).READ MORE
14,1,The speaker sounds was not workingREAD MORE
15,1,"not deliver on time , best my timeREAD MORE"
16,1,price highREAD MORE
17,1,"camera was not working....... and it hangs very much, looks like it was second handed phoneREAD MORE"
18,1,Poor qualityREAD MORE
19,1,"not buy mi phone after one year there are many issues raise like charging problem,hang,overheat any many more..READ MORE"
20,1,don't ever buy any xiaomi products you will regret. From a die hard xiaomi fan onceREAD MORE
21,1,Camera lenses are soo cheap that they can break anytym.And whenever i play some music it get stop such a creep phone by xiaomiREAD MORE
22,1,Double 4G support missing always.READ MORE
23,1,poor QualityREAD MORE
24,1,worst the sim slot is broken...dont buyREAD MORE
25,1,moddala phoneREAD MORE
26,1,All feturs are good but camera and display porfermens badREAD MORE
27,1,I haven't received any mobaile...only recived a shopREAD MORE
28,1,Power adapter is getting heated up after 1 monthREAD MORE
29,1,very bad product.. hang multiple timesREAD MORE
30,1,"some time Mobiles touch not working properly, most common issue is hang. please fix this problemREAD MORE"
31,1,bad phone display problemREAD MORE
32,1,Very delicate display...broken just after 2 days odd purchaseREAD MORE
33,1,do not buy on flipcartREAD MORE
34,1,newer buyREAD MORE
35,1,Finger print is not working properly.  slow when we give add 5 or more tabs..  not worth for money.READ MORE
36,1,Not very good product.. screen glass is very low quality..and it's broken just ..READ MORE
37,1,very slow after 2 m of uses. ni Android update availableREAD MORE
38,1,better performanceREAD MORE
39,1,"one sim port not working number of times it is not showing, and after restart it may be shown otherwise it's a big problemREAD MORE"
40,1,your pricess is too highREAD MORE
41,1,Fudu mobileREAD MORE
42,1,worst ever mobile.READ MORE
43,1,No matter which sim i put the data connectivity is too low.. Whereas my friends does get better signal strenght with the same phoneREAD MORE
44,1,"not happy with flipkart ,as per technician my mobile display is yellow that's why display is not looking clear,then why you not mention display colour in mobile specification,READ MORE"
45,1,waste of moneyREAD MORE
46,1,the screen turned red after some time even without any Physical damageREAD MORE
47,1,niceREAD MORE
48,1,flopREAD MORE
49,1,Worst product with worst service.... problem in finger print sensor & hanging issue& camera quality too bad.READ MORE
50,1,quite batter as compared to som phone..but at this time I'm go for honor handset..READ MORE
51,1,goodREAD MORE
52,1,bed sarwisREAD MORE
53,1,Vary niceREAD MORE
54,1,mobile hang in first day use.READ MORE
55,1,okREAD MORE
56,1,IM worst display 👇👇👎👎READ MORE
57,1,touch screen is not working properly.i am not satisfied.READ MORE
58,1,Awesome Phone full paisa wasulREAD MORE
59,1,Nice phone but only 6 month damage internal it's not work properly.READ MORE
60,1,Worst phone ever made by MiREAD MORE
61,1,please treat this star as zeroooooo ...... one of the worest product I have ever used... in call you is not responding in this mobile.... u have to call at least 3times to speak some. oneREAD MORE
62,1,price highREAD MORE
63,1,It's hanging issue is thereREAD MORE
64,1,"Very bad experience with this phone while purchasing online. Please purchase through store. I need to suffer a lot with flipkart, they even didn't change the phone, after getting problem of auto switch off an no network.READ MORE"
65,1,hanging problem and touching problemsREAD MORE
66,1,This mobile is very badREAD MORE
67,1,badREAD MORE
68,1,"Poor quality phone. Has heating issue from day 1. sound quality is poor - lot of times I am unable to hear clearly what the person on the other side is saying. And, finally after 4 months of use, i dropped once and there is a crack on my screen even after having screen protector. Dont buy this phone unless you want to keep replacing your phone ever 3-6 months. This phone might look enticing with good specs on paper and value for money but you get worse for what you pay. i would rather reco...READ MORE"
69,1,defective product receivedREAD MORE
70,1,Worst mobile ever...READ MORE
71,1,4000 mh battery is good ...5.99 display I think good..I think other phone gave double camera in this budget ..camera not good....over all average ....READ MORE
72,1,cost is not converted to EMI instead one time payment done through credit card.very bad experience.READ MORE
73,1,display gets damged within first month and replaced two times on warranty and still have same issue better do not buy this and go for redmi note4READ MORE
74,1,the worst shopping experienceREAD MORE
75,1,its not goodREAD MORE
76,1,very bad product made in ChinaREAD MORE
77,1,MiREAD MORE
78,1,though the phone is good..I got the mobile without any box & earphones..just in a playic wrap..what is Flipkart sailingREAD MORE
79,1,goodREAD MORE
80,1,very badREAD MORE
81,1,not much impressivebadREAD MORE
82,1,worst phoneREAD MORE
83,1,Bed experienceREAD MORE
84,1,very goodREAD MORE
85,1,it get heatedREAD MORE
86,1,very bad i suggest not to by this phoneREAD MORE
87,1,nice phoneREAD MORE
88,1,Worst phone i have seen. I am not getting 4g signals from the day 1.i get only 2g .I am very disappointed that all my money was waste.😫😫READ MORE
89,1,flipkart is auto canceling with their ai knowledge irrespective of delivery person details. they only want to think account holder is opened a shop to sell their delivered products. 7oolsREAD MORE
90,1,Very badREAD MORE
91,1,this device is very good but camera problemREAD MORE
92,1,"very poor quality products, please don't buyREAD MORE"
93,1,hated its build quality dropped from half feet and glass goneREAD MORE
94,1,Display changedREAD MORE
95,1,5 star for phone0 star for flipkart delivery 4 days delay...😠READ MORE
96,1,Sloppy service by flipkartREAD MORE
97,1,battery makes heating problem.. while charging it gets more heat. slow down problem.. battery drain automatically even we have 36% charge and put it on battery saver mode.  I never buy itREAD MORE
98,1,very bad one its broken item received very very badREAD MORE
99,1,"not so good, hangs and sometimes screen gets non responsive...READ MORE"
100,1,middleREAD MORE
101,1,Getting heat fastREAD MORE
102,1,Product is too bad. Within 25 days of Buying this product i got some shadow mark on the product. Flipkart guys also not verifying the product .I really doubt products are from authorized dealer.READ MORE
103,1,very very poor battery back up.....don't buy..READ MORE
104,1,phone is hanging frequently.READ MORE
105,1,network problemREAD MORE
106,1,Voice recording very poorREAD MORE
107,1,SuperREAD MORE
108,1,lots of hanging issue heating problem and sometimes  display can't touch properlyREAD MORE
109,1,youtube very bad respondREAD MORE
110,1,I got this phone July 18 2 & half my phone s speaker goneREAD MORE
111,1,hanging problem some timeREAD MORE
112,1,It is a okay dokay fon.   Kam paise me jada facility but not quality at alllMaximum life is only 1-2 year.READ MORE
113,1,it is getting hanged after 3 months of purchaseREAD MORE
114,1,Cashback not received so Flipkart Very bad service forest website August 13th I am purchase in Flipkart but cashback not received .? plz don't waste your moneyREAD MORE
115,1,Every thing was okay with the product but only thing is delayed in delivering because Flipkart always give a promise date and they always have a problem with the logistics team and they could not keep the promise and never delivered on time very disappointed every time i never put review i always order from 3 different email but never put review i put this people shou aware of this Amazon never did this 10 out of 9 time maybe on Amazon but worst delivery service 👎READ MORE
116,1,this product is not good I received the phone it was having a manufacturing defect of bad screen flip kart refuses to take it backREAD MORE
117,1,No cost emi ordered but hdfc bank charging 13% interest what is the use of mentioning no cost emi fooling customers very badREAD MORE
118,1,BadREAD MORE
119,1,Best budget phoneREAD MORE
120,1,this is bade phone or  any time hang problemREAD MORE
